"state_name","county_fips","county_name","val_acc_vacc","val_wearing_mask","votes_gop","votes_dem","total_votes","per_gop","per_dem","population","income"
"Arizona","4013","Maricopa County","70.3125923","92.1158285","995665","1040774","2069475","0.481119608","0.502916923","4485414","68634"
"California","6039","Madera County","68.832176","92.9932436","29378","23168","53722","0.546852314","0.431257213","157327","61105"
"California","6041","Marin County","84.4112661","96.8689542","24612","128288","155801","0.157970745","0.823409349","258826","112069"
"California","6065","Riverside County","74.8757727","96.1687953","448702","527945","996156","0.450433466","0.529982252","2470546","72905"
"Colorado","8069","Larimer County","80.5756323","95.4248703","91489","126120","224338","0.407817668","0.562187414","356899","75332"
"Delaware","10001","Kent County","65.6221616","96.5662101","41009","44552","87025","0.471232404","0.511944843","180786","58804"
"Florida","12117","Seminole County","71.2766484","90.5597784","125241","132528","260815","0.48019094","0.508130284","471826","69954"
"Georgia","13115","Floyd County","68.6689674","88.2842158","28906","11917","41341","0.699209018","0.288261048","98498","50520"
"Illinois","17143","Peoria County","61.6361185","92.3582153","38252","43578","83973","0.455527372","0.51895252","179179","57717"
"Indiana","18105","Monroe County","86.3280392","92.7669152","22071","39861","63151","0.349495653","0.631201406","148431","53113"
"Louisiana","22055","Lafayette Parish","61.9364535","83.4054625","72519","39685","114521","0.633237572","0.346530331","244390","60053"
"Maine","23019","Penobscot County","77.1106672","94.6388746","44825","37713","85269","0.525689289","0.442282658","152148","50702"
"Maryland","24015","Cecil County","63.9970691","99.5327103","29439","16809","47462","0.620264633","0.35415701","102855","75307"
"Massachusetts","25021","Norfolk County","86.1722747","97.212717","125294","273312","407751","0.307280669","0.670291428","706775","106851"
"Michigan","26049","Genesee County","64.7255497","95.6668358","98714","119390","221360","0.44594326","0.539347669","405813","50554"
"Michigan","26075","Jackson County","69.8973356","85.7834275","47372","31995","80861","0.585844845","0.395679005","158510","56001"
"Missouri","29043","Christian County","64.0486553","84.2679269","34920","11131","46839","0.745532569","0.237643844","88595","63400"
"Missouri","29183","St. Charles County","73.6964279","93.7926905","128389","89530","222017","0.578284546","0.403257408","402022","89236"
"New Jersey","34035","Somerset County","80.1822668","94.8784015","71996","111173","186891","0.385229893","0.594854755","328934","112722"
"New York","36011","Cayuga County","67.8910749","94.5418599","19512","16149","36421","0.535734878","0.44339804","76576","58055"
"New York","36055","Monroe County","79.4567749","96.0231079","145661","225746","380983","0.382329395","0.592535625","741770","62159"
"New York","36081","Queens County","75.1158549","97.1771528","212665","569038","787860","0.269927398","0.722257762","2253858","72975"
"North Carolina","37031","Carteret County","69.4145994","83.4055703","30028","12093","42695","0.703314205","0.283241597","69473","60058"
"North Carolina","37151","Randolph County","52.6284144","88.0507782","56894","15618","73316","0.776010693","0.213023078","143667","50129"
"Ohio","39035","Cuyahoga County","72.1022563","93.7698781","202699","416176","625670","0.323971103","0.665168539","1235072","52503"
"Pennsylvania","42077","Lehigh County","70.6774518","91.7119632","84259","98288","184713","0.456161721","0.532111979","369318","65436"
"Texas","48251","Johnson County","59.2881917","89.0520433","54628","16464","72005","0.758669537","0.228650788","175817","66538"
"Virginia","51161","Roanoke County","75.5980959","93.2410755","34268","21801","57184","0.599258534","0.381243005","94186","71742"
